BreakerId,ActiveEnergy,timestamp
1,991508,2026-02-25T12:53:12.884Z
2,17481,2026-02-25T12:53:12.890Z
3,433176,2026-02-25T12:53:12.895Z
4,1025910,2026-02-25T12:53:12.897Z
5,555274,2026-02-25T12:53:12.900Z
6,0,2026-02-25T12:53:12.902Z
7,12690,2026-02-25T12:53:12.905Z
1,991510,2026-02-25T13:00:01.669Z
2,17483,2026-02-25T13:00:01.675Z
3,433176,2026-02-25T13:00:01.677Z
4,1025920,2026-02-25T13:00:01.679Z
5,555276,2026-02-25T13:00:01.682Z
6,0,2026-02-25T13:00:01.684Z
7,12701,2026-02-25T13:00:01.686Z
1,991531,2026-02-25T14:00:01.908Z
2,17500,2026-02-25T14:00:01.916Z
3,433176,2026-02-25T14:00:01.918Z
4,1025980,2026-02-25T14:00:01.920Z
5,555298,2026-02-25T14:00:01.922Z
6,0,2026-02-25T14:00:01.923Z
7,12768,2026-02-25T14:00:01.925Z
1,991552,2026-02-25T15:00:01.606Z
2,17519,2026-02-25T15:00:01.612Z
3,433176,2026-02-25T15:00:01.614Z
4,1026050,2026-02-25T15:00:01.617Z
5,555321,2026-02-25T15:00:01.620Z
6,0,2026-02-25T15:00:01.622Z
7,12814,2026-02-25T15:00:01.624Z
1,991573,2026-02-25T16:00:01.617Z
2,17536,2026-02-25T16:00:01.623Z
3,433176,2026-02-25T16:00:01.624Z
4,1026100,2026-02-25T16:00:01.627Z
5,555345,2026-02-25T16:00:01.629Z
6,0,2026-02-25T16:00:01.631Z
7,12857,2026-02-25T16:00:01.633Z
1,991595,2026-02-25T17:00:01.509Z
2,17555,2026-02-25T17:00:01.516Z
3,433176,2026-02-25T17:00:01.518Z
4,1026150,2026-02-25T17:00:01.520Z
5,555367,2026-02-25T17:00:01.522Z
6,0,2026-02-25T17:00:01.523Z
7,12884,2026-02-25T17:00:01.525Z
1,991615,2026-02-25T18:00:01.621Z
2,17572,2026-02-25T18:00:01.624Z
3,433176,2026-02-25T18:00:01.626Z
4,1026200,2026-02-25T18:00:01.627Z
5,555388,2026-02-25T18:00:01.628Z
6,0,2026-02-25T18:00:01.629Z
7,12896,2026-02-25T18:00:01.630Z
1,991632,2026-02-25T19:00:01.588Z
2,17588,2026-02-25T19:00:01.594Z
3,433176,2026-02-25T19:00:01.595Z
4,1026250,2026-02-25T19:00:01.597Z
5,555410,2026-02-25T19:00:01.599Z
6,0,2026-02-25T19:00:01.601Z
7,12896,2026-02-25T19:00:01.602Z
1,991649,2026-02-25T20:00:01.565Z
2,17604,2026-02-25T20:00:01.568Z
3,433176,2026-02-25T20:00:01.570Z
4,1026280,2026-02-25T20:00:01.571Z
5,555427,2026-02-25T20:00:01.572Z
6,0,2026-02-25T20:00:01.573Z
7,12896,2026-02-25T20:00:01.575Z
1,991665,2026-02-25T21:00:01.871Z
2,17619,2026-02-25T21:00:01.875Z
3,433176,2026-02-25T21:00:01.876Z
4,1026310,2026-02-25T21:00:01.877Z
5,555442,2026-02-25T21:00:01.880Z
6,0,2026-02-25T21:00:01.881Z
7,12896,2026-02-25T21:00:01.882Z
1,991681,2026-02-25T22:00:01.549Z
2,17633,2026-02-25T22:00:01.551Z
3,433176,2026-02-25T22:00:01.553Z
4,1026350,2026-02-25T22:00:01.554Z
5,555459,2026-02-25T22:00:01.555Z
6,0,2026-02-25T22:00:01.556Z
